order_id,customer_id,product_name,amount,order_date,email,signup_date,country,days_since_signup,is_premium,etl_timestamp
ORD-93810,8,Laptop Pro 15,744.12,2024-05-05,hugo.durand@dataretail.com,2021-07-24,Tunisie,1016,True,2026-03-26 10:30:03.543274
ORD-38657,15,Disque SSD 1To,605.99,2024-10-14,océane.garcia@dataretail.com,2023-05-21,Maroc,512,False,2026-03-26 10:30:03.543274
ORD-30926,45,Hub USB-C,346.84,2024-03-20,tiffany.gauthier@dataretail.com,2023-08-03,France,230,False,2026-03-26 10:30:03.543274
ORD-23396,6,Hub USB-C,105.74,2024-06-25,françois.richard@dataretail.com,2022-06-28,Belgique,728,True,2026-03-26 10:30:03.543274
ORD-70217,35,Souris sans fil,973.37,2024-07-12,isabelle.blanc@dataretail.com,2021-05-27,Luxembourg,1142,False,2026-03-26 10:30:03.543274
ORD-92397,40,Scanner portable,863.08,2024-10-22,nathan.nicolas@dataretail.com,2022-10-18,Canada,735,False,2026-03-26 10:30:03.543274
ORD-96673,15,Stylet tactile,296.48,2024-02-10,océane.garcia@dataretail.com,2023-05-21,Maroc,265,False,2026-03-26 10:30:03.543274
ORD-59823,18,Tapis de souris XL,639.32,2024-07-05,rachel.roux@dataretail.com,2022-02-17,France,869,False,2026-03-26 10:30:03.543274
ORD-97841,18,Support PC portable,937.28,2024-11-27,rachel.roux@dataretail.com,2022-02-17,France,1014,False,2026-03-26 10:30:03.543274
ORD-80010,47,"Écran 27""",171.76,2024-07-13,valérie.lopez@dataretail.com,2022-09-15,Tunisie,667,False,2026-03-26 10:30:03.543274
ORD-83000,15,Chargeur rapide,331.03,2024-01-29,océane.garcia@dataretail.com,2023-05-21,Maroc,253,False,2026-03-26 10:30:03.543274
ORD-51347,26,Casque Bluetooth,75.52,2024-10-17,zoé.dupont@dataretail.com,2021-08-10,Suisse,1164,False,2026-03-26 10:30:03.543274
ORD-95909,32,Hub USB-C,885.83,2024-11-25,fanny.garnier@dataretail.com,2022-05-01,Tunisie,939,False,2026-03-26 10:30:03.543274
ORD-42325,48,Disque SSD 1To,543.58,2024-10-26,william.fontaine@dataretail.com,2021-05-08,Belgique,1267,False,2026-03-26 10:30:03.543274
ORD-57447,15,Clavier mécanique,514.42,2024-02-16,océane.garcia@dataretail.com,2023-05-21,Maroc,271,False,2026-03-26 10:30:03.543274
ORD-30033,41,Clavier mécanique,794.15,2024-08-04,olivia.perrin@dataretail.com,2022-03-30,Luxembourg,858,False,2026-03-26 10:30:03.543274
ORD-25014,44,Scanner portable,541.59,2024-05-16,samuel.clement@dataretail.com,2021-12-29,Sénégal,869,False,2026-03-26 10:30:03.543274
ORD-48469,28,Clavier mécanique,459.18,2024-05-14,béatrice.bonnet@dataretail.com,2022-09-02,Suisse,620,False,2026-03-26 10:30:03.543274
ORD-76542,7,Imprimante laser,629.04,2024-11-23,gabrielle.petit@dataretail.com,2023-08-19,Sénégal,462,True,2026-03-26 10:30:03.543274
ORD-59009,49,Clavier mécanique,543.98,2024-09-28,xénia.chevalier@dataretail.com,2021-05-02,Suisse,1245,False,2026-03-26 10:30:03.543274
ORD-74042,2,Souris sans fil,929.8,2024-06-06,bob.bernard@dataretail.com,2021-07-24,Suisse,1048,True,2026-03-26 10:30:03.543274
ORD-84364,6,Souris sans fil,734.58,2024-02-05,françois.richard@dataretail.com,2022-06-28,Belgique,587,True,2026-03-26 10:30:03.543274
ORD-26483,9,Chargeur rapide,480.52,2024-10-08,inès.leroy@dataretail.com,2023-01-10,Canada,637,True,2026-03-26 10:30:03.543274
ORD-89507,28,"Écran 27""",929.61,2024-12-19,béatrice.bonnet@dataretail.com,2022-09-02,Suisse,839,False,2026-03-26 10:30:03.543274
ORD-98039,42,Webcam HD,443.71,2024-09-21,patrick.morin@dataretail.com,2022-07-13,Tunisie,801,False,2026-03-26 10:30:03.543274
ORD-92719,4,"Écran 27""",76.72,2024-01-17,david.thomas@dataretail.com,2021-05-17,Belgique,975,True,2026-03-26 10:30:03.543274
ORD-41195,18,Chargeur rapide,490.55,2024-10-03,rachel.roux@dataretail.com,2022-02-17,France,959,False,2026-03-26 10:30:03.543274
ORD-84847,37,Tapis de souris XL,250.56,2024-08-30,karen.muller@dataretail.com,2022-01-26,Maroc,947,False,2026-03-26 10:30:03.543274
ORD-22704,43,Hub USB-C,360.74,2024-07-29,roxane.mathieu@dataretail.com,2023-04-25,Suisse,461,False,2026-03-26 10:30:03.543274
ORD-98259,42,Chargeur rapide,107.42,2024-07-25,patrick.morin@dataretail.com,2022-07-13,Tunisie,743,False,2026-03-26 10:30:03.543274
ORD-24322,16,"Écran 27""",198.3,2024-08-17,pierre.david@dataretail.com,2021-03-26,Belgique,1240,False,2026-03-26 10:30:03.543274
ORD-70637,16,Imprimante laser,924.02,2024-08-14,pierre.david@dataretail.com,2021-03-26,Belgique,1237,False,2026-03-26 10:30:03.543274
ORD-22833,4,Chargeur rapide,999.28,2024-01-08,david.thomas@dataretail.com,2021-05-17,Belgique,966,True,2026-03-26 10:30:03.543274
ORD-40982,11,Hub USB-C,490.77,2024-04-19,karine.simon@dataretail.com,2023-04-23,Tunisie,362,False,2026-03-26 10:30:03.543274
ORD-31579,25,Laptop Pro 15,985.45,2024-05-15,yasmine.mercier@dataretail.com,2022-01-02,Suisse,864,False,2026-03-26 10:30:03.543274
ORD-47388,28,Support PC portable,957.73,2024-10-11,béatrice.bonnet@dataretail.com,2022-09-02,Suisse,770,False,2026-03-26 10:30:03.543274
ORD-34890,19,"Écran 27""",969.01,2024-10-23,sébastien.vincent@dataretail.com,2021-10-03,France,1116,False,2026-03-26 10:30:03.543274
ORD-51104,4,Laptop Pro 15,588.33,2024-09-14,david.thomas@dataretail.com,2021-05-17,Belgique,1216,True,2026-03-26 10:30:03.543274
ORD-17455,33,Souris sans fil,852.82,2024-02-05,guillaume.faure@dataretail.com,2021-03-25,Tunisie,1047,False,2026-03-26 10:30:03.543274
ORD-40828,26,Souris sans fil,942.17,2024-10-18,zoé.dupont@dataretail.com,2021-08-10,Suisse,1165,False,2026-03-26 10:30:03.543274
ORD-91183,6,Hub USB-C,660.79,2024-10-16,françois.richard@dataretail.com,2022-06-28,Belgique,841,True,2026-03-26 10:30:03.543274
ORD-36772,43,Support PC portable,321.03,2024-05-15,roxane.mathieu@dataretail.com,2023-04-25,Suisse,386,False,2026-03-26 10:30:03.543274
ORD-83792,7,Souris sans fil,542.25,2024-09-16,gabrielle.petit@dataretail.com,2023-08-19,Sénégal,394,True,2026-03-26 10:30:03.543274
ORD-19016,16,Webcam HD,292.13,2024-08-12,pierre.david@dataretail.com,2021-03-26,Belgique,1235,False,2026-03-26 10:30:03.543274
ORD-90173,42,Disque SSD 1To,17.73,2024-10-10,patrick.morin@dataretail.com,2022-07-13,Tunisie,820,False,2026-03-26 10:30:03.543274
ORD-27601,17,Souris sans fil,890.81,2024-10-10,quentin.bertrand@dataretail.com,2022-04-26,Maroc,898,False,2026-03-26 10:30:03.543274
ORD-37607,46,Webcam HD,211.55,2024-11-20,ugo.dumont@dataretail.com,2021-05-15,Suisse,1285,False,2026-03-26 10:30:03.543274
ORD-27146,41,Casque Bluetooth,169.96,2024-08-14,olivia.perrin@dataretail.com,2022-03-30,Luxembourg,868,False,2026-03-26 10:30:03.543274
ORD-11267,8,Souris sans fil,945.59,2024-12-19,hugo.durand@dataretail.com,2021-07-24,Tunisie,1244,True,2026-03-26 10:30:03.543274
ORD-15229,23,"Écran 27""",685.24,2024-12-07,wendy.andré@dataretail.com,2022-09-13,Sénégal,816,False,2026-03-26 10:30:03.543274
